Year,AREA,TIPOGASTO,ADMON,Value
2010,00001,ESED,ADM_AUT,.
2011,00001,ESED,ADM_AUT,.
2012,00001,ESED,ADM_AUT,26.19
2013,00001,ESED,ADM_AUT,.
2014,00001,ESED,ADM_AUT,27.16
2015,00001,ESED,ADM_AUT,27.26
2016,00001,ESED,ADM_AUT,27.01
2017,00001,ESED,ADM_AUT,26.84
2018,00001,ESED,ADM_AUT,27.15
2019,00001,ESED,ADM_AUT,27.70
2020,00001,ESED,ADM_AUT,27.43
2021,00001,ESED,ADM_AUT,26.73
2022,00001,ESED,ADM_AUT,26.36
2010,00001,ESED,ADM_PUB,.
2011,00001,ESED,ADM_PUB,.
2012,00001,ESED,ADM_PUB,11.11
2013,00001,ESED,ADM_PUB,0.00
2014,00001,ESED,ADM_PUB,10.95
2015,00001,ESED,ADM_PUB,10.98
2016,00001,ESED,ADM_PUB,10.99
2017,00001,ESED,ADM_PUB,10.94
2018,00001,ESED,ADM_PUB,10.83
2019,00001,ESED,ADM_PUB,10.73
2020,00001,ESED,ADM_PUB,10.19
2021,00001,ESED,ADM_PUB,10.49
2022,00001,ESED,ADM_PUB,10.57
2010,00001,HLTH,ADM_AUT,32.14
2011,00001,HLTH,ADM_AUT,32.04
2012,00001,HLTH,ADM_AUT,32.69
2013,00001,HLTH,ADM_AUT,34.60
2014,00001,HLTH,ADM_AUT,33.79
2015,00001,HLTH,ADM_AUT,34.56
2016,00001,HLTH,ADM_AUT,34.27
2017,00001,HLTH,ADM_AUT,34.01
2018,00001,HLTH,ADM_AUT,35.38
2019,00001,HLTH,ADM_AUT,36.52
2020,00001,HLTH,ADM_AUT,37.35
2021,00001,HLTH,ADM_AUT,37.65
2022,00001,HLTH,ADM_AUT,.
2010,00001,HLTH,ADM_PUB,13.71
2011,00001,HLTH,ADM_PUB,13.83
2012,00001,HLTH,ADM_PUB,13.74
2013,00001,HLTH,ADM_PUB,13.62
2014,00001,HLTH,ADM_PUB,13.49
2015,00001,HLTH,ADM_PUB,13.78
2016,00001,HLTH,ADM_PUB,13.82
2017,00001,HLTH,ADM_PUB,13.77
2018,00001,HLTH,ADM_PUB,14.08
2019,00001,HLTH,ADM_PUB,14.09
2020,00001,HLTH,ADM_PUB,13.93
2021,00001,HLTH,ADM_PUB,14.72
2022,00001,HLTH,ADM_PUB,0.00
2010,00001,PROT,ADM_AUT,5.33
2011,00001,PROT,ADM_AUT,6.41
2012,00001,PROT,ADM_AUT,7.02
2013,00001,PROT,ADM_AUT,7.57
2014,00001,PROT,ADM_AUT,7.47
2015,00001,PROT,ADM_AUT,7.75
2016,00001,PROT,ADM_AUT,7.84
2017,00001,PROT,ADM_AUT,7.55
2018,00001,PROT,ADM_AUT,7.48
2019,00001,PROT,ADM_AUT,7.32
2020,00001,PROT,ADM_AUT,7.43
2021,00001,PROT,ADM_AUT,7.44
2022,00001,PROT,ADM_AUT,7.67
2010,00001,PROT,ADM_PUB,40.32
2011,00001,PROT,ADM_PUB,41.99
2012,00001,PROT,ADM_PUB,44.51
2013,00001,PROT,ADM_PUB,46.04
2014,00001,PROT,ADM_PUB,45.60
2015,00001,PROT,ADM_PUB,45.50
2016,00001,PROT,ADM_PUB,45.69
2017,00001,PROT,ADM_PUB,45.34
2018,00001,PROT,ADM_PUB,46.15
2019,00001,PROT,ADM_PUB,46.36
2020,00001,PROT,ADM_PUB,47.86
2021,00001,PROT,ADM_PUB,47.26
2022,00001,PROT,ADM_PUB,46.42
